Time,X,Y,Z
1534367492.40000295639038085938,4699693.43241054285317659378052,-9321419.3000005073845386505127,222.8304290771484375
1534367492.90022993087768554688,4699693.69091778714209794998169,-9321419.35165119357407093048096,222.7807464599609375
1534367493.40000200271606445312,4699693.89104942698031663894653,-9321419.34790293686091899871826,222.7996063232421875
1534367493.90000295639038085938,4699694.03434251062572002410889,-9321419.37677955441176891326904,222.8052215576171875
1534367494.40000295639038085938,4699694.17648598086088895797729,-9321419.38831072859466075897217,222.8350372314453125
1534367494.90023589134216308594,4699694.34043441433459520339966,-9321419.41221872903406620025635,222.75555419921875
1534367495.40000510215759277344,4699694.52611412666738033294678,-9321419.40287456288933753967285,222.7696990966796875
1534367495.90000391006469726562,4699694.72274389304220676422119,-9321419.43082606978714466094971,222.798553466796875
1534367496.40000391006469726562,4699694.93045981880277395248413,-9321419.43910170719027519226074,222.7429962158203125
1534367496.90023708343505859375,4699695.12283989321440458297729,-9321419.43545372784137725830078,222.728240966796875
1534367497.40000510215759277344,4699695.34521519951522350311279,-9321419.48625602386891841888428,222.6588134765625
1534367497.90000391006469726562,4699695.53270576894283294677734,-9321419.47888789884746074676514,222.6305999755859375
1534367498.40000510215759277344,4699695.71988289710134267807007,-9321419.5098512563854455947876,222.6193084716796875
1534367498.90024209022521972656,4699695.90449900925159454345703,-9321419.51107565127313137054443,222.7216949462890625
1534367499.40000796318054199219,4699696.14768331870436668395996,-9321419.54590384848415851593018,222.7412261962890625
1534367499.90000295639038085938,4699696.4112859554588794708252,-9321419.56034043617546558380127,222.7342987060546875
1534367500.40000295639038085938,4699696.6356683382764458656311,-9321419.55937956273555755615234,222.790283203125
1534367500.90025210380554199219,4699696.88185545708984136581421,-9321419.57688132487237453460693,222.822845458984375
1534367501.40000510215759277344,4699697.06106772553175687789917,-9321419.57080042734742164611816,222.9391326904296875
1534367501.90000391006469726562,4699697.32681211736053228378296,-9321419.58802281133830547332764,222.878692626953125
1534367502.40000391006469726562,4699697.55875258520245552062988,-9321419.6059677209705114364624,222.92437744140625
1534367502.90001702308654785156,4699697.83138902764767408370972,-9321419.64341340027749538421631,222.9132232666015625
1534367503.40001702308654785156,4699698.1081389384344220161438,-9321419.63961075805127620697021,222.96343994140625
1534367503.90000391006469726562,4699698.4050620384514331817627,-9321419.68070735037326812744141,222.851226806640625
1534367504.40000391006469726562,4699698.704288482666015625,-9321419.69896008074283599853516,222.8878326416015625
1534367504.90002489089965820312,4699699.00562680047005414962769,-9321419.71703817322850227355957,222.921173095703125
1534367505.40002393722534179688,4699699.29046134650707244873047,-9321419.71565055102109909057617,222.92376708984375
1534367505.90000295639038085938,4699699.59299918264150619506836,-9321419.70424666069447994232178,222.92889404296875
1534367506.40000295639038085938,4699699.87861118558794260025024,-9321419.75906316749751567840576,222.8610992431640625
1534367506.90003895759582519531,4699700.15228176862001419067383,-9321419.73066530004143714904785,222.8227691650390625
1534367507.40002799034118652344,4699700.38707292452454566955566,-9321419.71016374416649341583252,222.9121856689453125
1534367507.90000200271606445312,4699700.65421025175601243972778,-9321419.73024926520884037017822,222.8679656982421875
1534367508.40000200271606445312,4699700.9079081751406192779541,-9321419.68190546520054340362549,222.9245452880859375
1534367508.90004491806030273438,4699701.19452548492699861526489,-9321419.7144355252385139465332,222.9387359619140625
1534367509.40003490447998046875,4699701.49600096419453620910645,-9321419.69740592874586582183838,222.9039154052734375
1534367509.90000200271606445312,4699701.81978395115584135055542,-9321419.72511930577456951141357,222.9418182373046875
1534367510.40000295639038085938,4699702.14446480385959148406982,-9321419.72026634775102138519287,222.8449554443359375
1534367510.90004801750183105469,4699702.47156287450343370437622,-9321419.74502451904118061065674,222.77520751953125
1534367511.40004706382751464844,4699702.77226315997540950775146,-9321419.7646687813103199005127,222.7895050048828125
1534367511.90000200271606445312,4699703.06603526044636964797974,-9321419.76233990304172039031982,222.8365478515625
1534367512.40000295639038085938,4699703.39758101291954517364502,-9321419.76065110601484775543213,222.7948455810546875
1534367512.90000796318054199219,4699703.71321159414947032928467,-9321419.7350187562406063079834,222.7981109619140625
1534367513.40005207061767578125,4699704.00936883501708507537842,-9321419.68235921114683151245117,222.861297607421875
1534367513.90000200271606445312,4699704.37118782941251993179321,-9321419.65296004526317119598389,222.7834320068359375
1534367514.40000295639038085938,4699704.71671983785927295684814,-9321419.64695382304489612579346,222.7573394775390625
1534367514.90001797676086425781,4699705.10608169995248317718506,-9321419.65153345093131065368652,222.7122650146484375
1534367515.40005993843078613281,4699705.47432809881865978240967,-9321419.66725132800638675689697,222.717742919921875
1534367515.90000295639038085938,4699705.86413577198982238769531,-9321419.66450196318328380584717,222.61590576171875
1534367516.40000200271606445312,4699706.2078279973939061164856,-9321419.6940759960561990737915,222.5881195068359375
1534367516.90001797676086425781,4699706.63663524482399225234985,-9321419.75615098141133785247803,222.4240875244140625
1534367517.40006899833679199219,4699707.03244479838758707046509,-9321419.82084175571799278259277,222.2384033203125
1534367517.90000295639038085938,4699707.42646992020308971405029,-9321419.90120319835841655731201,222.2199554443359375
1534367518.40000295639038085938,4699707.76747255027294158935547,-9321419.92579586990177631378174,222.226593017578125
1534367518.90000295639038085938,4699708.11589474789798259735107,-9321419.92467836663126945495605,222.224884033203125
1534367519.40008497238159179688,4699708.46124240569770336151123,-9321419.90520012192428112030029,222.1789093017578125
1534367519.90000295639038085938,4699708.80848140921443700790405,-9321419.92884138412773609161377,222.2133941650390625
1534367520.40000295639038085938,4699709.1144699398428201675415,-9321419.93985889293253421783447,222.378997802734375
1534367520.90000200271606445312,4699709.43757181707769632339478,-9321419.95768118649721145629883,222.372222900390625
1534367521.40008807182312011719,4699709.75499728601425886154175,-9321419.97250508330762386322021,222.4239349365234375
1534367521.90000295639038085938,4699710.09315980039536952972412,-9321420.00008496642112731933594,222.3621673583984375
1534367522.40000391006469726562,4699710.40559357963502407073975,-9321420.04337070696055889129639,222.3241119384765625
1534367522.90000510215759277344,4699710.61432250868529081344604,-9321420.04742812551558017730713,222.35235595703125
1534367523.400096893310546875,4699710.69581994973123073577881,-9321420.05670741945505142211914,222.4073333740234375
1534367523.90000391006469726562,4699710.69983453582972288131714,-9321420.06914895959198474884033,222.4337921142578125
1534367524.40000295639038085938,4699710.65091233607381582260132,-9321420.02461112290620803833008,222.51861572265625
1534367524.90000391006469726562,4699710.62239201925694942474365,-9321420.04249363206326961517334,222.547515869140625
1534367525.40010404586791992188,4699710.63459682464599609375,-9321420.06281965225934982299805,222.5069732666015625
1534367525.90000391006469726562,4699710.68280853610485792160034,-9321420.0665875002741813659668,222.370513916015625
1534367526.40000391006469726562,4699710.71880390401929616928101,-9321420.06302835606038570404053,222.311737060546875
1534367526.90000391006469726562,4699710.73063648864626884460449,-9321420.0729112103581428527832,222.2622222900390625
1534367527.40012598037719726562,4699710.75780836399644613265991,-9321420.11650636978447437286377,222.1628265380859375
1534367527.90000391006469726562,4699710.72342743817716836929321,-9321420.12699401751160621643066,222.1566925048828125
1534367528.40000391006469726562,4699710.71113963704556226730347,-9321420.16166801564395427703857,221.9801177978515625
1534367528.90000510215759277344,4699710.60321471840143203735352,-9321420.17475766502320766448975,221.9788970947265625
1534367529.40012598037719726562,4699710.46147452667355537414551,-9321420.16987302899360656738281,221.9947509765625
1534367529.90000391006469726562,4699710.32610401138663291931152,-9321420.18378243409097194671631,222.016082763671875
1534367530.40000295639038085938,4699710.1848008893430233001709,-9321420.16206304542720317840576,222.033966064453125
1534367530.90000391006469726562,4699710.03505394980311393737793,-9321420.1612017415463924407959,222.0300445556640625
1534367531.40014004707336425781,4699709.9634541077539324760437,-9321420.15296898595988750457764,222.0442962646484375
1534367531.90000391006469726562,4699709.94909063726663589477539,-9321420.15303635783493518829346,222.1130523681640625
1534367532.40000391006469726562,4699709.88802595436573028564453,-9321420.16126900352537631988525,222.1756439208984375
1534367532.90000510215759277344,4699709.81130064837634563446045,-9321420.15973013639450073242188,222.173736572265625
1534367533.40015697479248046875,4699709.70624228939414024353027,-9321420.19704888574779033660889,222.0931549072265625
1534367533.90000391006469726562,4699709.50207788404077291488647,-9321420.18211970292031764984131,222.2034912109375
1534367534.40000200271606445312,4699709.32200156431645154953003,-9321420.18146727792918682098389,222.113494873046875
1534367534.90000391006469726562,4699709.19043158274143934249878,-9321420.16049190238118171691895,221.9842987060546875
1534367535.40016007423400878906,4699708.99727661628276109695435,-9321420.20179143175482749938965,221.8789825439453125
1534367535.90000295639038085938,4699708.7380628716200590133667,-9321420.21866838447749614715576,221.839141845703125
1534367536.40000200271606445312,4699708.52235830761492252349854,-9321420.26534663699567317962646,221.718597412109375
1534367536.90000200271606445312,4699708.25110195484012365341187,-9321420.22361715883016586303711,221.61590576171875
1534367537.40017294883728027344,4699708.02937897015362977981567,-9321420.29985308274626731872559,221.4627685546875
1534367537.90000295639038085938,4699707.75342074502259492874146,-9321420.33453859202563762664795,221.492889404296875
1534367538.40000200271606445312,4699707.47189854457974433898926,-9321420.36997924558818340301514,221.5411834716796875
1534367538.90000295639038085938,4699707.18163390923291444778442,-9321420.44760560803115367889404,221.5844573974609375
1534367539.40018391609191894531,4699706.87704254034906625747681,-9321420.52731763944029808044434,221.7466583251953125
1534367539.90000295639038085938,4699706.71764792595058679580688,-9321420.5572504475712776184082,221.8350372314453125
1534367540.40000200271606445312,4699706.68332260008901357650757,-9321420.58278894610702991485596,221.898956298828125
1534367540.90000295639038085938,4699706.69189810007810592651367,-9321420.58694848790764808654785,221.9055328369140625
1534367541.400196075439453125,4699706.71528845373541116714478,-9321420.59126820228993892669678,221.9316558837890625
1534367541.90000200271606445312,4699706.78907244373112916946411,-9321420.58069108985364437103271,221.8578033447265625
1534367542.40000200271606445312,4699706.78254867158830165863037,-9321420.57050599716603755950928,221.845794677734375
1534367542.90000295639038085938,4699706.75174060277640819549561,-9321420.57981829158961772918701,221.9021759033203125
1534367543.40021109580993652344,4699706.70151720941066741943359,-9321420.59962740913033485412598,221.976226806640625
1534367543.90000295639038085938,4699706.65065025910735130310059,-9321420.61180606111884117126465,222.0064697265625
1534367544.40000200271606445312,4699706.66866345237940549850464,-9321420.63388339616358280181885,221.9663848876953125
